country_name,slug_game,medals_total,athletes_unique,avg_rank,medal_share,medals_total_lag_1,athletes_unique_lag_1,cluster,pca_1,pca_2
Sudan,barcelona-1992,1,3,25.5,0.00034071550255536625,0.0,2.0,2,-0.8854114058559596,-0.30145779309816206
Sudan,beijing-2008,1,2,47.5,0.00034106412005457026,1.0,3.0,0,-1.2452267324219821,0.9152781949549148
Sudan,london-2012,0,3,42.333333333333336,0.0,1.0,2.0,0,-1.1682639350257689,0.6270790833183358
Sudan,los-angeles-1984,0,6,19.33333333333333,0.0,0.0,3.0,2,-0.76911124624893,-0.6395814336280737
Sudan,mexico-city-1968,0,3,17.0,0.0,0.0,6.0,2,-0.7656004512580699,-0.7763790280867733
Sudan,munich-1972,6,7,17.2,0.002776492364645997,0.0,3.0,2,-0.5989334418118217,-0.718629764437145
Sudan,rio-2016,0,3,60.66666666666666,0.0,6.0,7.0,0,-1.4150252383098814,1.6619255356136655
Sudan,rome-1960,0,7,24.571428571428573,0.0,0.0,3.0,2,-0.8430144443551554,-0.3476720825917756
Sudan,seoul-1988,0,6,17.5,0.0,0.0,7.0,2,-0.7392156812164713,-0.740822795400431
Sudan,tokyo-2020,0,2,32.0,0.0,0.0,2.0,2,-1.021713230782883,0.04931106901334268
Suriname,athens-2004,0,2,52.5,0.0,0.0,0.0,0,-1.3560000034185582,1.1813735688315221
Suriname,atlanta-1996,0,5,33.77777777777778,0.0,0.0,2.0,2,-1.016164763642695,0.1554294629349644
Suriname,barcelona-1992,1,4,31.4,0.00034071550255536625,0.0,5.0,2,-0.9701080677011764,0.027003634006597135
Suriname,beijing-2008,0,2,54.5,0.0,1.0,4.0,0,-1.3781744776822362,1.296305257679354
Suriname,london-2012,0,3,33.333333333333336,0.0,0.0,2.0,2,-1.0319427579108844,0.1255894677033208
Suriname,los-angeles-1984,0,3,29.5,0.0,0.0,3.0,2,-0.9694338492066523,-0.08609701600251772
Suriname,montreal-1976,0,1,9.0,0.0,0.0,3.0,2,-0.6581724805440051,-1.223456150622678
Suriname,munich-1972,0,1,19.0,0.0,0.0,1.0,2,-0.821239198902871,-0.6712305409552738
Suriname,rio-2016,0,4,22.25,0.0,0.0,1.0,2,-0.8396977764099605,-0.4838122656103952
Suriname,seoul-1988,1,3,21.0,0.00037064492216456633,0.0,1.0,2,-0.811577535782151,-0.5498393592624249
